Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
38,Oladapo Afolayan,ENG,"FW,MF",St. Pauli,Bundesliga,27.0,1998,32,17,1639,18.2,3,1,4,3,0,0,3,0,3.1,3.1,3.8,7.0,53,32,108,0.16,0.05,0.22,0.16,0.22,0.17,0.21,0.38,0.17,0.38,Matches
39,Emmanuel Agbadou,CIV,DF,Wolves,Premier League,27.0,1997,15,15,1320,14.7,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.1,5,30,2,0.07,0.00,0.07,0.07,0.07,0.06,0.02,0.07,0.06,0.07,Matches
40,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,27.0,1997,14,14,1260,14.0,0,0,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
41,Asher Agbinone,ENG,MF,Crystal Palace,Premier League,19.0,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,2,0,1,0.00,0.00,0.00,0.00,0.00,0.29,0.50,0.79,0.29,0.79,Matches
42,Jeremy Agbonifo,SWE,"FW,MF",Lens,Ligue 1,19.0,2005,8,1,300,3.3,1,0,1,1,0,0,1,0,0.7,0.7,0.2,0.9,13,6,36,0.30,0.00,0.30,0.30,0.30,0.21,0.06,0.26,0.21,0.26,Matches
43,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,24.0,2000,14,14,1206,13.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
44,Lucien Agoume,FRA,MF,Sevilla,La Liga,23.0,2002,34,23,2024,22.5,1,2,3,1,0,0,5,1,0.8,0.8,2.2,3.0,25,122,19,0.04,0.09,0.13,0.04,0.13,0.04,0.10,0.13,0.04,0.13,Matches
45,Felix Agu,GER,DF,Werder Bremen,Bundesliga,25.0,1999,22,21,1751,19.5,3,0,3,3,0,0,1,0,1.4,1.4,1.8,3.2,33,43,105,0.15,0.00,0.15,0.15,0.15,0.07,0.09,0.17,0.07,0.17,Matches
46,Álvaro Aguado,ESP,MF,Espanyol,La Liga,29.0,1996,15,4,431,4.8,0,1,1,0,0,0,3,0,0.4,0.4,0.6,1.0,13,36,3,0.00,0.21,0.21,0.00,0.21,0.09,0.12,0.22,0.09,0.22,Matches
47,Lorenzo Aguado,ESP,DF,Real Madrid,La Liga,22.0,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
