Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
195,Boubacar Diédhiou Diallo,SEN,MF,Petrocub,23,6,1,178,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,4,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
196,Adrián Diéguez,ESP,DF,Jagiellonia,29,5,5,449,5.0,0,0,0,0,0,0,0,1,0.0,0.0,0.2,0.3,4,17,1,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.05,0.01,0.05
197,Kevin Diks,IDN,DF,FC Copenhagen,28,9,9,828,9.2,4,1,5,0,4,4,4,0,3.7,0.5,0.8,1.3,10,60,17,0.43,0.11,0.54,0.00,0.11,0.42,0.09,0.50,0.06,0.15
198,Deniz Dilmen,nan,GK,Başakşehir,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
199,Alpha Diounkou,SEN,DF,AC Omonia,23,8,8,695,7.7,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,15,42,38,0.00,0.00,0.00,0.00,0.00,0.01,0.07,0.07,0.01,0.07
200,Axel Disasi,FRA,DF,Chelsea,27,6,6,508,5.6,1,2,3,1,0,0,2,0,0.6,0.6,0.3,0.9,3,19,1,0.18,0.35,0.53,0.18,0.53,0.10,0.06,0.16,0.10,0.16
201,Gilbert DJangmah Narh,GHA,"DF,MF",Petrocub,20,2,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
202,Daniel Djuric,ISL,"FW,MF",KV,22,7,5,477,5.3,1,1,2,1,0,1,1,0,2.3,1.5,0.8,2.3,12,21,32,0.19,0.19,0.38,0.19,0.38,0.43,0.15,0.58,0.28,0.43
203,Dodô,BRA,DF,Fiorentina,26,8,5,515,5.7,0,1,1,0,0,0,3,0,0.2,0.2,1.5,1.7,33,21,38,0.00,0.17,0.17,0.00,0.17,0.03,0.27,0.30,0.03,0.30
204,Agustín Doffo,ARG,MF,Olimpija,29,7,7,629,7.0,0,0,0,0,0,0,1,0,0.2,0.2,0.7,0.9,10,40,18,0.00,0.00,0.00,0.00,0.00,0.03,0.10,0.13,0.03,0.13
205,Denis Donat,CZE,DF,Mladá Boleslav,23,2,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
206,Anastasios Donis,GRE,"MF,FW",APOEL,28,5,5,325,3.6,2,0,2,2,0,0,2,0,1.3,1.3,0.7,2.0,11,8,19,0.55,0.00,0.55,0.55,0.55,0.35,0.21,0.56,0.35,0.56
207,Aaron Donnelly,NIR,"DF,MF",Larne FC,25,4,3,279,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
208,Niklas Dorsch,GER,MF,Heidenheim,27,5,4,284,3.2,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,4,17,4,0.00,0.00,0.00,0.00,0.00,0.07,0.03,0.10,0.07,0.10
209,Tïmwr Dosmagambetov,KAZ,DF,Astana FK,36,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,4,10,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
210,Donalio Douanla,CMR,"MF,DF",Petrocub,27,6,6,482,5.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
211,Ousmane Doumbia,CIV,"MF,FW",Lugano,33,6,1,189,2.1,2,0,2,2,0,0,0,0,0.9,0.9,0.0,0.9,1,11,4,0.95,0.00,0.95,0.95,0.95,0.48,0.01,0.49,0.48,0.49
212,Vlad Dragomir,ROU,"MF,FW",Pafos FC,26,10,10,863,9.6,1,0,1,1,0,0,0,0,1.2,1.2,1.7,2.8,16,43,43,0.10,0.00,0.10,0.10,0.10,0.12,0.17,0.30,0.12,0.30
213,Bartłomiej Drągowski,POL,GK,Panathinaikos,27,7,7,630,7.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
214,Stefan Dražić,SRB,FW,APOEL,32,2,2,150,1.7,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,1,1,8,0.00,0.60,0.60,0.00,0.60,0.04,0.32,0.36,0.04,0.36
215,Dion Drena Beljo,CRO,FW,Rapid Wien,23,10,10,844,9.4,5,2,7,5,0,0,1,0,5.3,5.3,1.8,7.1,18,24,60,0.53,0.21,0.75,0.53,0.75,0.59,0.20,0.79,0.59,0.79
216,Léo Duarte,BRA,DF,Başakşehir,28,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,15,7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
217,Marco Dulca,ROU,MF,NK Celje,26,8,4,300,3.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,3,9,0,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
218,Ivan Durdov,CRO,FW,Olimpija,24,7,2,234,2.6,1,0,1,1,0,0,0,0,0.5,0.5,0.1,0.6,1,4,7,0.38,0.00,0.38,0.38,0.38,0.20,0.04,0.24,0.20,0.24
219,Lasha Dvali,GEO,"DF,MF",APOEL,30,4,1,99,1.1,0,0,0,0,0,0,2,1,0.0,0.0,0.2,0.2,1,2,0,0.00,0.00,0.00,0.00,0.00,0.02,0.14,0.16,0.02,0.16
220,Kiano Dyer,ENG,MF,Chelsea,18,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
221,Mikita Dziemčanka,BLR,"MF,FW",Dinamo Minsk,22,6,6,486,5.4,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,12,21,18,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09
222,Maks Ebonh,BLR,MF,Astana FK,25,4,4,333,3.7,0,0,0,0,0,0,3,1,0.0,0.0,0.2,0.2,4,11,2,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07
223,Enzo Ebosse,CMR,DF,Jagiellonia,26,6,6,519,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,3,9,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
224,Malamine Efekele,FRA,"DF,MF",Cercle Brugge,20,7,6,440,4.9,1,0,1,1,0,0,0,0,0.3,0.3,0.6,0.9,8,13,23,0.20,0.00,0.20,0.20,0.20,0.06,0.12,0.18,0.06,0.18
