Rk,Player,Nation,Pos,Squad,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
99,Giulian Biancone,FRA,DF,Olympiacos,24,4,2,197,2.2,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.0,3,15,2,0.46,0.00,0.46,0.46,0.46,0.41,0.06,0.46,0.41,0.46
100,Raul Bicalho,BRA,DF,Ferencváros,25,5,3,291,3.2,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,2,9,2,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05
101,Kristian Bilovar,UKR,DF,Dynamo Kyiv,23,7,6,612,6.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,10,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
102,Daniel Birligea,ROU,FW,FCSB,24,9,9,680,7.6,3,0,3,3,0,0,4,1,2.6,2.6,1.1,3.7,12,6,50,0.40,0.00,0.40,0.40,0.40,0.35,0.14,0.49,0.35,0.49
103,Tom Bischof,GER,MF,Hoffenheim,19,8,8,625,6.9,1,1,2,1,0,0,2,0,0.7,0.7,1.5,2.1,16,37,23,0.14,0.14,0.29,0.14,0.29,0.09,0.21,0.31,0.09,0.31
104,Yves Bissouma,MLI,MF,Tottenham,27,10,7,661,7.3,0,0,0,0,0,0,3,0,0.2,0.2,0.2,0.4,9,28,6,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06
105,Jeremie Boga,CIV,"MF,FW",Nice,27,3,1,139,1.5,2,0,2,2,0,0,0,0,0.7,0.7,0.1,0.8,1,7,9,1.29,0.00,1.29,1.29,1.29,0.43,0.07,0.50,0.43,0.50
106,Adama Boiro,ESP,DF,Athletic Club,22,1,1,75,0.8,1,1,2,1,0,0,0,0,0.1,0.1,0.2,0.3,1,6,5,1.20,1.20,2.40,1.20,2.40,0.07,0.29,0.36,0.07,0.36
107,Hugo Bolin,SWE,"FW,MF",Malmö,21,8,7,586,6.5,1,0,1,1,0,0,2,0,1.7,1.7,1.4,3.1,27,37,72,0.15,0.00,0.15,0.15,0.15,0.26,0.21,0.47,0.26,0.47
108,Moïse Bombito,CAN,DF,Nice,24,6,6,540,6.0,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,4,21,0,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01
109,Ruben van Bommel,NED,FW,AZ Alkmaar,19,5,5,313,3.5,3,0,3,3,0,0,2,0,3.4,3.4,0.4,3.9,11,16,26,0.86,0.00,0.86,0.86,0.86,0.98,0.13,1.11,0.98,1.11
110,Hendrik Bonmann,GER,GK,Ludogorets,30,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
111,Taylor Booth,USA,FW,Twente,23,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,,,,,
112,Gonçalo Borges,POR,"MF,FW",Porto,23,7,2,241,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,28,7,35,0.00,0.00,0.00,0.00,0.00,0.16,0.08,0.24,0.16,0.24
113,Kady Borges,BRA,"FW,MF",Ferencváros,28,8,5,408,4.5,1,3,4,1,0,0,0,0,1.0,1.0,0.6,1.6,16,19,21,0.22,0.66,0.88,0.22,0.88,0.22,0.14,0.36,0.22,0.36
